Unnamed: 0,title,Published_on,News_agency,URL,summary,Country,language,tag,Merged
10,Tel Aviv Protesters Show Anger Toward Netanyahu and Israel’s Government - The New York Times,"Sun, 18 Feb 2024 17:47:00 GMT",The New York Times,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDIvMTcvd29ybGQvbWlkZGxlZWFzdC90ZWwtYXZpdi1wcm90ZXN0LW5ldGFueWFodS1pc3JhZWwuaHRtbNIBAA?oc=5,"Tel Aviv Protesters Show Anger Toward Netanyahu and Israel’s GovernmentThe New York TimesTel Aviv protesters call on Netanyahu to resignBBC.comRelatives’ frustration showcased at hostages rally; nearby, masses call for electionsThe Times of IsraelIsrael protests demand Netanyahu bring Hamas hostages home from GazaThe Washington PostIsrael-Hamas War Day 134 | 'Netanyahu, My Brother Doesn't Have Time for Politics': Thousands Rally for Hostages - Israel NewsHaaretz",US,en,World,protester anger toward netanyahu israel government time protester anger toward netanyahu israel governmentthe timestel protester netanyahu resignbbccomrelatives frustration showcased hostage rally nearby mass electionsthe time israelisrael protest demand netanyahu bring hamas hostage gazathe washington postisraelhamas netanyahu brother doesnt politics thousand rally hostage israel newshaaretz
11,Israel-Hamas war: ICJ to begin hearing on Israeli occupation of Palestinian lands - The Associated Press,"Sun, 18 Feb 2024 23:52:57 GMT",The Associated Press,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2lzcmFlbC1wYWxlc3RpbmlhbnMtY291cnQtZ2F6YS1vY2N1cGF0aW9uLThlMTk0YTVkOTZiYzZhMjI2NGEwYmIzZGU4NTc2MjEw0gEA?oc=5,Israel-Hamas war: ICJ to begin hearing on Israeli occupation of Palestinian landsThe Associated PressEgypt to make argument before ICJ against Israel's practicesThe New ArabBREAKING: Egypt to submits 2 memorandums to ICJ on violations in Palestinian territoriesEgypt TodayBack to the ICJ: Court to hear claims against Israel’s 56-year rule over PalestiniansThe Times of IsraelICJ to consider legality of Israeli control over West Bank and East JerusalemHaaretz,US,en,World,israelhamas begin hearing israeli occupation palestinian land associated press israelhamas begin hearing israeli occupation palestinian landsthe associated pressegypt argument israel practicesthe arabbreaking egypt submits memorandum violation palestinian territoriesegypt todayback court claim israel 56year palestiniansthe time israelicj consider legality israeli control jerusalemhaaretz
12,'There's only Plan A': Defense leaders fear failure in Ukraine - POLITICO,"Sun, 18 Feb 2024 20:08:16 GMT",POLITICO,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3LnBvbGl0aWNvLmNvbS9uZXdzLzIwMjQvMDIvMTgvbXVuaWNoLXVrcmFpbmUtc2VjdXJpdHktY29uZmVyZW5jZS0wMDE0MjA3N9IBAA?oc=5,'There's only Plan A': Defense leaders fear failure in UkrainePOLITICOWar in Ukraine: How Using Drones Has Helped Kyiv Neutralize Russia’s EdgeBloombergMunich Security Conference: Fears of Russian NATO Attack Spark Existential QuestionsForeign PolicyOpinion | Biden team struggles to reassure Europe the U.S. won’t abandon UkraineThe Washington PostRussian victories shake global leaders' faith in Ukraine war prospectsFinancial Times,US,en,World,there defense leader failure ukraine politico there defense leader failure ukrainepoliticowar ukraine using drone helped neutralize russia edgebloombergmunich security conference fear russian attack spark existential questionsforeign policyopinion biden struggle reassure europe abandon ukrainethe washington postrussian victory shake global leader faith ukraine prospectsfinancial time
13,Thaksin Shinawatra: Former Thai prime minister released on parole - BBC.com,"Sun, 18 Feb 2024 13:49:35 GMT",BBC.com,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hc2lhLTY4MzI5OTUz0gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3dvcmxkLWFzaWEtNjgzMjk5NTMuYW1w?oc=5,"Thaksin Shinawatra: Former Thai prime minister released on paroleBBC.comPM faces new leadership testBangkok PostThailand’s ex-PM Thaksin leaves hospital after six months in detentionAl Jazeera EnglishFormer Thai PM Thaksin Shinawatra released on parole from police hospitalThe GuardianThaksin Shinawatra, Former Thai Prime Minister, Freed on ParoleThe New York Times",US,en,World,thaksin shinawatra former prime minister released parole bbccom thaksin shinawatra former prime minister released parolebbccompm face leadership testbangkok postthailand thaksin leaf hospital month detentional jazeera englishformer thaksin shinawatra released parole police hospitalthe guardianthaksin shinawatra former prime minister freed parolethe time
14,Ukrainian foreign minister discusses peace prospects with Chinese counterpart - Arab News,"Sun, 18 Feb 2024 20:05:06 GMT",Arab News,https://news.google.com/rss/articles/CBMiK2h0dHBzOi8vd3d3LmFyYWJuZXdzLmNvbS9ub2RlLzI0NjIzNzEvd29ybGTSAQA?oc=5,"Ukrainian foreign minister discusses peace prospects with Chinese counterpartArab News'We don't sell weapons to conflict zones': China makes pledge to Ukraine in MunichSouth China Morning PostChina's Wang Says Time Isn't Right to Talk Russia-Ukraine PeaceBloombergWang to Kuleba: China not selling weapons to RussiaUkrinformChina Sides With Russia at UN, Urges End to Weapons for UkraineNewsweek",US,en,World,ukrainian foreign minister discus peace prospect chinese counterpart ukrainian foreign minister discus peace prospect chinese counterpartarab newswe weapon conflict zone china make pledge ukraine munichsouth china morning postchinas right russiaukraine peacebloombergwang kuleba china selling weapon russiaukrinformchina side russia urge weapon ukrainenewsweek
15,Israel's Decision on Ramadan Prayers Is a Farce. It Could End in Tragedy - Israel News - Haaretz,"Sun, 18 Feb 2024 22:04:00 GMT",Haaretz,https://news.google.com/rss/articles/CBMirgFodHRwczovL3d3dy5oYWFyZXR6LmNvbS9pc3JhZWwtbmV3cy8yMDI0LTAyLTE5L3R5LWFydGljbGUvLnByZW1pdW0vaXNyYWVscy1kZWNpc2lvbi1vbi1yYW1hZGFuLXByYXllcnMtaXMtYS1mYXJjZS1pdC1jb3VsZC1lbmQtaW4tdHJhZ2VkeS8wMDAwMDE4ZC1iZTE3LWRmMTAtYTk5Zi1iZmY3MWY1YjAwMDDSAQA?oc=5,"Israel's Decision on Ramadan Prayers Is a Farce. It Could End in Tragedy - Israel NewsHaaretzAl-Aqsa during Ramadan: Netanyahu backs Ben-Gvir demand to limit Israeli-Arab worshippersHaaretzBen Gvir calls to bar ‘Palestinian Authority residents’ from Temple Mount on RamadanThe Times of IsraelNetanyahu bans Palestinians of 1948 from Aqsa during RamadanThe New ArabAmid Security Fears, Muslim Access To The Temple Mount During Ramadan Will Be Limited - I24NEWSi24NEWS",US,en,World,israel decision ramadan prayer farce could tragedy israel haaretz israel decision ramadan prayer farce could tragedy israel newshaaretzalaqsa ramadan netanyahu back bengvir demand limit israeliarab worshippershaaretzben call palestinian authority resident temple mount ramadanthe time israelnetanyahu palestinian ramadanthe arabamid security fear muslim access temple mount ramadan limited i24newsi24news
16,Russian forces were able to capture Avdiivka due to air superiority - ISW - Ukrinform,"Sun, 18 Feb 2024 12:23:00 GMT",Ukrinform,https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnVrcmluZm9ybS5uZXQvcnVicmljLWF0by8zODI4ODY3LXJ1c3NpYW4tZm9yY2Utd2VyZS1hYmxlLXRvLWNhcHR1cmUtYXZkaWl2a2EtZHVlLXRvLWFpci1zdXBlcmlvcml0eS1pc3cuaHRtbNIBfGh0dHBzOi8vd3d3LnVrcmluZm9ybS5uZXQvYW1wL3J1YnJpYy1hdG8vMzgyODg2Ny1ydXNzaWFuLWZvcmNlLXdlcmUtYWJsZS10by1jYXB0dXJlLWF2ZGlpdmthLWR1ZS10by1haXItc3VwZXJpb3JpdHktaXN3Lmh0bWw?oc=5,"Russian forces were able to capture Avdiivka due to air superiority - ISWUkrinformRussian Offensive Campaign Assessment, February 17, 2024Critical Threats ProjectRussian Fighters Can Lob 250 Glide-Bombs In Two Days And Demolish Ukrainian Defenses. And Just One Ukrainian Weapon Can Stop Them.ForbesRussia Aims for Victory in Ukraine by 2026: ReportNewsweekISW Russian Offensive Campaign Assessment, Map and Update February 17, 2024Kyiv Post",US,en,World,russian force capture avdiivka superiority ukrinform russian force capture avdiivka superiority iswukrinformrussian offensive campaign assessment february 2024critical threat projectrussian fighter glidebombs demolish ukrainian defense ukrainian weapon themforbesrussia victory ukraine reportnewsweekisw russian offensive campaign assessment update february 2024kyiv
17,Chinese foreign minister says trying to cut his country out of trade would be a historic mistake - Yahoo Finance,"Sat, 17 Feb 2024 12:33:46 GMT",Yahoo Finance,https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9jaGluZXNlLWZvcmVpZ24tbWluaXN0ZXItc2F5cy10cnlpbmctMTIzMzQ2OTQxLmh0bWzSAQA?oc=5,"Chinese foreign minister says trying to cut his country out of trade would be a historic mistakeYahoo FinanceIn Munich, China defends ties with Russia, warns West on Taiwan 'red line'South China Morning PostChina can't be cut out of global economy, warns foreign ministerPOLITICO EuropeChina foreign minister courts Europe in wake of Trump's NATO tauntNikkei AsiaWang Yi Meets with French Minister for Europe and Foreign Affairs Stéphane Séjourné_Embassy of the People's Republic of China in the United States of America中华人民共和国驻美利坚合众国大使馆",US,en,World,chinese foreign minister trying country trade would historic mistake yahoo finance chinese foreign minister trying country trade would historic mistakeyahoo financein munich china defends russia warns taiwan linesouth china morning postchina global economy warns foreign ministerpolitico europechina foreign minister court europe trump tauntnikkei asiawang meet french minister europe foreign affair stéphane séjournéembassy people republic china united state america中华人民共和国驻美利坚合众国大使馆
18,Displaced Gazans Brace for Possible Ground Assault on Border Town - The Wall Street Journal,"Sat, 17 Feb 2024 20:33:00 GMT",The Wall Street Journal,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3Lndzai5jb20vd29ybGQvbWlkZGxlLWVhc3QvZGlzcGxhY2VkLWdhemFucy1icmFjZS1mb3ItcG9zc2libGUtZ3JvdW5kLWFzc2F1bHQtb24tYm9yZGVyLXRvd24tOTZkOWYxYTjSAQA?oc=5,Displaced Gazans Brace for Possible Ground Assault on Border TownThe Wall Street JournalIsrael’s war on Gaza updates: People desperate for aid as crisis worsens | Israel War on Gaza NewsAl Jazeera EnglishNetanyahu: Those telling us not to enter Rafah are essentially saying ‘lose the war’The Times of IsraelIsrael's defense chief says military 'thoroughly planning' offensive in crowded Gaza border townThe Associated Press,US,en,World,displaced gazans brace possible ground assault border street journal displaced gazans brace possible ground assault border townthe street journalisrael update people desperate crisis worsens israel newsal jazeera englishnetanyahu telling enter rafah essentially saying time israelisraels defense chief military thoroughly planning offensive crowded border townthe associated press
19,"As Russia Makes 'Major Gain,' a Warning From Zelensky - Newser","Sat, 17 Feb 2024 17:30:00 GMT",Newser,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3Lm5ld3Nlci5jb20vc3RvcnkvMzQ2NTI5L2FzLXJ1c3NpYS1tYWtlcy1tYWpvci1nYWluLWEtd2FybmluZy1mcm9tLXplbGVuc2t5Lmh0bWzSAQA?oc=5,"As Russia Makes 'Major Gain,' a Warning From ZelenskyNewserZelenskyy warns of an 'artificial deficit' of weapons after Ukraine's withdrawal from AvdiivkaThe Associated PressZelenskyy takes an apparent dig at Congress over military aid: 'Dictators do not go on vacation'USA TODAYVolodymyr Zelenskiy pleads for more arms as frontline Ukrainian city fallsThe GuardianZelenskyy offers Trump a tour of Ukraine's front linePOLITICO Europe",US,en,World,russia make major warning zelensky newser russia make major warning zelenskynewserzelenskyy warns artificial deficit weapon ukraine withdrawal avdiivkathe associated presszelenskyy take apparent congress military dictator vacationusa todayvolodymyr zelenskiy pleads frontline ukrainian fallsthe guardianzelenskyy offer trump ukraine front linepolitico europe
